code,decoder,noiseModel,shots,rounds,distance,error_rate,runtime [s]
repetition,sparse_blossom,si1000_004,10000.0,100.0,3,0.0088,0.0403377810034726
repetition,sparse_blossom,si1000_004,10000.0,100.0,5,0.0008,0.0701245830059633
repetition,sparse_blossom,si1000_004,10000.0,100.0,7,0.0,0.094708304022788
repetition,sparse_blossom,si1000_004,10000.0,100.0,9,0.0,0.1274359409799217
repetition,sparse_blossom,si1000_004,10000.0,100.0,11,0.0,0.1426458259884384
repetition,sparse_blossom,si1000_004,10000.0,100.0,13,0.0,0.1774930760038842
repetition,sparse_blossom,si1000_004,10000.0,100.0,15,0.0,0.2065947189948929
repetition,sparse_blossom,si1000_004,10000.0,100.0,17,0.0,0.2318544739864592
repetition,sparse_blossom,si1000_004,10000.0,100.0,19,0.0,0.2695628629953717
repetition,sparse_blossom,si1000_004,10000.0,100.0,21,0.0,0.2984488469955977
repetition,sparse_blossom,si1000_004,10000.0,100.0,23,0.0,0.3635077029830427
repetition,sparse_blossom,si1000_004,10000.0,100.0,25,0.0,0.3528545509907417
repetition,sparse_blossom,si1000_004,10000.0,100.0,27,0.0,0.4872264219884528
repetition,sparse_blossom,si1000_004,10000.0,100.0,29,0.0,0.4025036369712325
repetition,sparse_blossom,si1000_004,10000.0,100.0,31,0.0,0.4874052320046758
repetition,sparse_blossom,willow,10000.0,100.0,3,0.0061,0.03374932999940938
repetition,sparse_blossom,willow,10000.0,100.0,5,0.0004,0.05503699400287587
repetition,sparse_blossom,willow,10000.0,100.0,7,0.0,0.07933591801702278
repetition,sparse_blossom,willow,10000.0,100.0,9,0.0,0.09302609099177062
repetition,sparse_blossom,willow,10000.0,100.0,11,0.0,0.11969475099613192
repetition,sparse_blossom,willow,10000.0,100.0,13,0.0,0.13619249300973024
repetition,sparse_blossom,willow,10000.0,100.0,15,0.0,0.15675433399883332
repetition,sparse_blossom,willow,10000.0,100.0,17,0.0,0.18078959300692077
repetition,sparse_blossom,willow,10000.0,100.0,19,0.0,0.2027901639958145
repetition,sparse_blossom,willow,10000.0,100.0,21,0.0,0.22970675898977788
repetition,sparse_blossom,willow,10000.0,100.0,23,0.0,0.24835199402150465
repetition,sparse_blossom,willow,10000.0,100.0,25,0.0,0.28459010101505555
repetition,sparse_blossom,willow,10000.0,100.0,27,0.0,0.3006861910071166
repetition,sparse_blossom,willow,10000.0,100.0,29,0.0,0.32162275298833265
repetition,sparse_blossom,willow,10000.0,100.0,31,0.0,0.33092897503229324
repetition,union_find,si1000_004,10000.0,100.0,3,0.024,144.24675402700086
repetition,union_find,si1000_004,10000.0,100.0,5,0.003,246.13707020898073
repetition,union_find,si1000_004,10000.0,100.0,7,0.0003,332.55480241592886
repetition,union_find,si1000_004,10000.0,100.0,9,0.0001,418.0920469600278
repetition,union_find,si1000_004,10000.0,100.0,11,0.0,527.5893259550576
repetition,union_find,si1000_004,10000.0,100.0,13,0.0,599.4314452679464
repetition,union_find,si1000_004,10000.0,100.0,15,0.0,687.628151955967
repetition,union_find,si1000_004,10000.0,100.0,17,0.0,831.6993606849974
repetition,union_find,si1000_004,10000.0,100.0,19,,
repetition,union_find,si1000_004,10000.0,100.0,21,,
repetition,union_find,si1000_004,10000.0,100.0,23,,
repetition,union_find,si1000_004,10000.0,100.0,25,,
repetition,union_find,si1000_004,10000.0,100.0,27,,
repetition,union_find,si1000_004,10000.0,100.0,29,,
repetition,union_find,si1000_004,10000.0,100.0,31,,
repetition,union_find,willow,10000.0,100.0,3,,
repetition,union_find,willow,10000.0,100.0,5,,
repetition,union_find,willow,10000.0,100.0,7,,
repetition,union_find,willow,10000.0,100.0,9,,
repetition,union_find,willow,10000.0,100.0,11,,
repetition,union_find,willow,10000.0,100.0,13,,
repetition,union_find,willow,10000.0,100.0,15,,
repetition,union_find,willow,10000.0,100.0,17,,
repetition,union_find,willow,10000.0,100.0,19,,
repetition,union_find,willow,10000.0,100.0,21,,
repetition,union_find,willow,10000.0,100.0,23,,
repetition,union_find,willow,10000.0,100.0,25,,
repetition,union_find,willow,10000.0,100.0,27,,
repetition,union_find,willow,10000.0,100.0,29,,
repetition,union_find,willow,10000.0,100.0,31,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,3,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,5,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,7,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,9,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,11,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,13,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,15,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,17,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,19,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,21,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,23,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,25,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,27,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,29,,
unrotated,sparse_blossom,si1000_004,10000.0,100.0,31,,
unrotated,sparse_blossom,willow,10000.0,100.0,3,,
unrotated,sparse_blossom,willow,10000.0,100.0,5,,
unrotated,sparse_blossom,willow,10000.0,100.0,7,,
unrotated,sparse_blossom,willow,10000.0,100.0,9,,
unrotated,sparse_blossom,willow,10000.0,100.0,11,,
unrotated,sparse_blossom,willow,10000.0,100.0,13,,
unrotated,sparse_blossom,willow,10000.0,100.0,15,,
unrotated,sparse_blossom,willow,10000.0,100.0,17,,
unrotated,sparse_blossom,willow,10000.0,100.0,19,,
unrotated,sparse_blossom,willow,10000.0,100.0,21,,
unrotated,sparse_blossom,willow,10000.0,100.0,23,,
unrotated,sparse_blossom,willow,10000.0,100.0,25,,
unrotated,sparse_blossom,willow,10000.0,100.0,27,,
unrotated,sparse_blossom,willow,10000.0,100.0,29,,
unrotated,sparse_blossom,willow,10000.0,100.0,31,,
unrotated,union_find,si1000_004,10000.0,100.0,3,,
unrotated,union_find,si1000_004,10000.0,100.0,5,,
unrotated,union_find,si1000_004,10000.0,100.0,7,,
unrotated,union_find,si1000_004,10000.0,100.0,9,,
unrotated,union_find,si1000_004,10000.0,100.0,11,,
unrotated,union_find,si1000_004,10000.0,100.0,13,,
unrotated,union_find,si1000_004,10000.0,100.0,15,,
unrotated,union_find,si1000_004,10000.0,100.0,17,,
unrotated,union_find,si1000_004,10000.0,100.0,19,,
unrotated,union_find,si1000_004,10000.0,100.0,21,,
unrotated,union_find,si1000_004,10000.0,100.0,23,,
unrotated,union_find,si1000_004,10000.0,100.0,25,,
unrotated,union_find,si1000_004,10000.0,100.0,27,,
unrotated,union_find,si1000_004,10000.0,100.0,29,,
unrotated,union_find,si1000_004,10000.0,100.0,31,,
unrotated,union_find,willow,10000.0,100.0,3,,
unrotated,union_find,willow,10000.0,100.0,5,,
unrotated,union_find,willow,10000.0,100.0,7,,
unrotated,union_find,willow,10000.0,100.0,9,,
unrotated,union_find,willow,10000.0,100.0,11,,
unrotated,union_find,willow,10000.0,100.0,13,,
unrotated,union_find,willow,10000.0,100.0,15,,
unrotated,union_find,willow,10000.0,100.0,17,,
unrotated,union_find,willow,10000.0,100.0,19,,
unrotated,union_find,willow,10000.0,100.0,21,,
unrotated,union_find,willow,10000.0,100.0,23,,
unrotated,union_find,willow,10000.0,100.0,25,,
unrotated,union_find,willow,10000.0,100.0,27,,
unrotated,union_find,willow,10000.0,100.0,29,,
unrotated,union_find,willow,10000.0,100.0,31,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,3,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,5,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,7,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,9,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,11,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,13,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,15,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,17,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,19,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,21,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,23,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,25,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,27,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,29,,
rotated,sparse_blossom,si1000_004,10000.0,100.0,31,,
rotated,sparse_blossom,willow,10000.0,100.0,3,,
rotated,sparse_blossom,willow,10000.0,100.0,5,,
rotated,sparse_blossom,willow,10000.0,100.0,7,,
rotated,sparse_blossom,willow,10000.0,100.0,9,,
rotated,sparse_blossom,willow,10000.0,100.0,11,,
rotated,sparse_blossom,willow,10000.0,100.0,13,,
rotated,sparse_blossom,willow,10000.0,100.0,15,,
rotated,sparse_blossom,willow,10000.0,100.0,17,,
rotated,sparse_blossom,willow,10000.0,100.0,19,,
rotated,sparse_blossom,willow,10000.0,100.0,21,,
rotated,sparse_blossom,willow,10000.0,100.0,23,,
rotated,sparse_blossom,willow,10000.0,100.0,25,,
rotated,sparse_blossom,willow,10000.0,100.0,27,,
rotated,sparse_blossom,willow,10000.0,100.0,29,,
rotated,sparse_blossom,willow,10000.0,100.0,31,,
rotated,union_find,si1000_004,10000.0,100.0,3,,
rotated,union_find,si1000_004,10000.0,100.0,5,,
rotated,union_find,si1000_004,10000.0,100.0,7,,
rotated,union_find,si1000_004,10000.0,100.0,9,,
rotated,union_find,si1000_004,10000.0,100.0,11,,
rotated,union_find,si1000_004,10000.0,100.0,13,,
rotated,union_find,si1000_004,10000.0,100.0,15,,
rotated,union_find,si1000_004,10000.0,100.0,17,,
rotated,union_find,si1000_004,10000.0,100.0,19,,
rotated,union_find,si1000_004,10000.0,100.0,21,,
rotated,union_find,si1000_004,10000.0,100.0,23,,
rotated,union_find,si1000_004,10000.0,100.0,25,,
rotated,union_find,si1000_004,10000.0,100.0,27,,
rotated,union_find,si1000_004,10000.0,100.0,29,,
rotated,union_find,si1000_004,10000.0,100.0,31,,
rotated,union_find,willow,10000.0,100.0,3,,
rotated,union_find,willow,10000.0,100.0,5,,
rotated,union_find,willow,10000.0,100.0,7,,
rotated,union_find,willow,10000.0,100.0,9,,
rotated,union_find,willow,10000.0,100.0,11,,
rotated,union_find,willow,10000.0,100.0,13,,
rotated,union_find,willow,10000.0,100.0,15,,
rotated,union_find,willow,10000.0,100.0,17,,
rotated,union_find,willow,10000.0,100.0,19,,
rotated,union_find,willow,10000.0,100.0,21,,
rotated,union_find,willow,10000.0,100.0,23,,
rotated,union_find,willow,10000.0,100.0,25,,
rotated,union_find,willow,10000.0,100.0,27,,
rotated,union_find,willow,10000.0,100.0,29,,
rotated,union_find,willow,10000.0,100.0,31,,
